"Classification","chnm","tgt_abbr","testname","NAS"
"AmbiDILIDrugs","colchicine","prlfrn","BSK_SAg_Proliferation_down_Row54",0.386503067
"AmbiDILIDrugs","colchicine","prlfrn","BSK_CASM3C_Proliferation_down_Row26",0.367165951
"AmbiDILIDrugs","colchicine","prlfrn","BSK_3C_Proliferation_down_Row100",0.168614479
"AmbiDILIDrugs","colchicine","SERPINE1","BSK_BE3C_PAI1_down_Row56",0.351683558
"AmbiDILIDrugs","colchicine","srb","BSK_4H_SRB_down_Row131",0.386503067
"AmbiDILIDrugs","colchicine","srb","BSK_3C_SRB_down_Row82",-0.038450798
"AmbiDILIDrugs","colchicine","TP53","APR_HepG2_p53Act_72h_up_Row173",0.754601227
"LessDILIDrugs","cyproheptadine","AR","TOX21_AR_LUC_MDAKB2_Antagonist2_Row168",-0.013499696
"LessDILIDrugs","cyproheptadine","NFKB1","TOX21_NFkB_BLA_agonist_ratio_Row250",0.89715833
"LessDILIDrugs","cyproheptadine","NFKB1","TOX21_NFkB_BLA_agonist_ch2_Row251",-0.211801437
"LessDILIDrugs","cyproheptadine","NR3C1","TOX21_GR_BLA_Antagonist_viability_Row231",0.688439288
"LessDILIDrugs","cyproheptadine","NR3C1","TOX21_GR_BLA_Antagonist_ch2_Row165",0.673345488
"LessDILIDrugs","cyproheptadine","THRA","TOX21_TR_LUC_GH3_Antagonist_Row97",0.827908234
"LessDILIDrugs","cyproheptadine","TP53","TOX21_p53_BLA_p5_ch2_Row151",0.904725814
"LessDILIDrugs","cyproheptadine","TP53","TOX21_p53_BLA_p2_ratio_Row80",0.608232075
"LessDILIDrugs","cyproheptadine","TP53","TOX21_p53_BLA_p2_ch1_Row98",0.607733569
"LessDILIDrugs","cyproheptadine","TP53","TOX21_p53_BLA_p2_viability_Row180",0.607710562
"MostDILI Drugs","danazol","AR","TOX21_AR_LUC_MDAKB2_Agonist_Row252",0.953687875
"MostDILI Drugs","danazol","AR","TOX21_AR_BLA_Agonist_ratio_Row249",0.843017875
"MostDILI Drugs","danazol","AR","TOX21_AR_BLA_Agonist_ch2_Row254",0.828573709
"MostDILI Drugs","danazol","AR","TOX21_AR_BLA_Antagonist_ratio_Row143",-1.147020055
"MostDILI Drugs","danazol","ESR1","ATG_ERa_TRANS_up_Row27",-2.962308571
"MostDILI Drugs","danazol","hydroxypregnenelone","CEETOX_H295R_OHPREG_up_Row609",-3.603691401
"MostDILI Drugs","danazol","SERPINE1","BSK_hDFCGF_PAI1_up_Row537",-0.880524679
"MostDILI Drugs","danazol","testosterone","CEETOX_H295R_TESTO_dn_Row305",-1.343922784
"MostDILI Drugs","danazol","TNFRSF10B","ATG_DR5_CIS_up_Row335",-3.8998588
"LessDILIDrugs","dapsone","deoxycorticosterone","CEETOX_H295R_DOC_dn_Row301",-3.715957593
"LessDILIDrugs","dapsone","HTR6","NVS_GPCR_h5HT6_Row959",0.675871299
"LessDILIDrugs","dapsone","hydroxyprogesterone","CEETOX_H295R_OHPROG_up_Row610",-3.328570942
"LessDILIDrugs","dapsone","OPRL1","NVS_GPCR_rOpiate_NonSelectiveNa_Row1004",-3.760585432
"LessDILIDrugs","dapsone","oxidoreductase","NCCT_TPO_AUR_dn_Row14",-0.041680089
"LessDILIDrugs","dapsone","SLC6A3","NVS_TR_DAT_Row594",0.06414107
"LessDILIDrugs","dapsone","SLC6A3","NVS_TR_DAT_Row593",-2.204828
"LessDILIDrugs","dapsone","TSPO","NVS_MP_rPBR_Row587",0.409494677
"LessDILIDrugs","dasatinib","AR","TOX21_ARE_BLA_agonist_ratio_Row34",-2.567569504
"LessDILIDrugs","dasatinib","CYP19A1","TOX21_Aromatase_Inhibition_Row119",0.208342278
"LessDILIDrugs","dasatinib","NR1H4","TOX21_FXR_BLA_antagonist_ratio_Row183",-2.039739517
"NoDILI Drugs","daunorubicin","AR","TOX21_AR_LUC_MDAKB2_Antagonist2_Row168",-0.047803543
"NoDILI Drugs","daunorubicin","AR","TOX21_AR_LUC_MDAKB2_Antagonist_Row178",-1.091663379
"NoDILI Drugs","daunorubicin","AR","TOX21_AR_BLA_Agonist_ch2_Row254",-1.769634147
"NoDILI Drugs","daunorubicin","AR","TOX21_AR_BLA_Agonist_ratio_Row249",-3.354974761
"NoDILI Drugs","daunorubicin","ESR1","TOX21_ERa_LUC_BG1_Agonist_Row253",-2.499945365
"NoDILI Drugs","daunorubicin","NR3C1","TOX21_GR_BLA_Agonist_ch2_Row270",-0.924854732
"NoDILI Drugs","daunorubicin","NR3C1","TOX21_GR_BLA_Agonist_ratio_Row239",-1.512908246
"NoDILI Drugs","daunorubicin","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",-1.646713458
"NoDILI Drugs","daunorubicin","PPARD","TOX21_PPARd_BLA_antagonist_ratio_Row221",-3.417828945
"NoDILI Drugs","daunorubicin","THRA","TOX21_TR_LUC_GH3_Antagonist_Row97",-0.521021519
"NoDILI Drugs","daunorubicin","TP53","TOX21_p53_BLA_p4_ratio_Row126",-0.21294115
"NoDILI Drugs","daunorubicin","TP53","TOX21_p53_BLA_p4_ch1_Row112",-0.368468314
"NoDILI Drugs","daunorubicin","TP53","TOX21_p53_BLA_p4_ch2_Row163",-0.405185772
"NoDILI Drugs","daunorubicin","TP53","TOX21_p53_BLA_p1_ch1_Row166",-0.429585455
"NoDILI Drugs","daunorubicin","TP53","TOX21_p53_BLA_p2_ch1_Row98",-1.097387233
"NoDILI Drugs","daunorubicin","TP53","TOX21_p53_BLA_p5_ch2_Row151",-1.524552321
"NoDILI Drugs","daunorubicin","TP53","TOX21_p53_BLA_p5_ratio_Row117",-1.764845099
"NoDILI Drugs","daunorubicin","TP53","TOX21_p53_BLA_p2_ch2_Row77",-1.807098747
"NoDILI Drugs","daunorubicin","TP53","TOX21_p53_BLA_p2_ratio_Row80",-2.822679718
"NoDILI Drugs","daunorubicin","TP53","TOX21_p53_BLA_p1_ch2_Row274",-3.011023643
"NoDILI Drugs","daunorubicin","TP53","TOX21_p53_BLA_p1_ratio_Row162",-3.404656911
"AmbiDILIDrugs","dexamethasone","AR","TOX21_AR_LUC_MDAKB2_Agonist_Row252",0.974729398
"AmbiDILIDrugs","dexamethasone","NR3C1","TOX21_GR_BLA_Agonist_ratio_Row239",0.987379987
"AmbiDILIDrugs","dexamethasone","NR3C1","TOX21_GR_BLA_Agonist_ch2_Row270",0.983807828
"MostDILI Drugs","diflunisal","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",0.943982152
"MostDILI Drugs","diflunisal","PPARD","TOX21_PPARd_BLA_agonist_ch2_Row208",0.887183996
"NoDILI Drugs","digoxin","AR","TOX21_AR_BLA_Antagonist_viability_Row157",-3.665800714
"NoDILI Drugs","digoxin","NRF1","ATG_NRF1_CIS_up_Row418",-1.612164643
"NoDILI Drugs","digoxin","PPARD","TOX21_PPARd_BLA_agonist_ch2_Row208",-3.033999643
"NoDILI Drugs","digoxin","PPARG","TOX21_PPARg_BLA_Agonist_ch2_Row1",-3.543989286
"NoDILI Drugs","digoxin","TP53","TOX21_p53_BLA_p1_ch2_Row274",-2.368662857
"NoDILI Drugs","digoxin","TP53","TOX21_p53_BLA_p3_ch2_Row92",-3.049636429
"NoDILI Drugs","digoxin","TP53","TOX21_p53_BLA_p2_ch2_Row77",-3.312241786
"NoDILI Drugs","digoxin","TP53","TOX21_p53_BLA_p5_ch2_Row151",-3.393733929
"NoDILI Drugs","digoxin","TP53","TOX21_p53_BLA_p4_ch2_Row163",-3.488278214
"AmbiDILIDrugs","dipyridamole","AR","TOX21_AR_BLA_Antagonist_ratio_Row143",-3.934247558
"AmbiDILIDrugs","dipyridamole","esr","TOX21_ESRE_BLA_ratio_Row243",-3.311963888
"AmbiDILIDrugs","dipyridamole","HSF1","TOX21_HSE_BLA_agonist_ratio_Row172",-0.810568431
"AmbiDILIDrugs","dipyridamole","HSF1","TOX21_HSE_BLA_agonist_ch2_Row280",-1.592000147
"AmbiDILIDrugs","dipyridamole","NFKB1","TOX21_NFkB_BLA_agonist_ratio_Row250",-2.407023635
"AmbiDILIDrugs","dipyridamole","NR1H4","TOX21_FXR_BLA_antagonist_ratio_Row183",-0.368068855
"AmbiDILIDrugs","dipyridamole","NR1H4","TOX21_FXR_BLA_Antagonist_ch1_Row215",-1.452668521
"AmbiDILIDrugs","dipyridamole","NR1H4","TOX21_FXR_BLA_agonist_ch2_Row135",-2.280627165
"AmbiDILIDrugs","dipyridamole","PPARG","TOX21_PPARg_BLA_Antagonist_ch1_Row285",-1.953394927
"MostDILI Drugs","disulfiram","ADCY5","NVS_ENZ_rACFSKBinding_Row933",-0.378969967
"MostDILI Drugs","disulfiram","ADRB1","NVS_GPCR_hAdrb1_Row964",0.50066194
"MostDILI Drugs","disulfiram","androstenedione","CEETOX_H295R_ANDR_dn_Row304",-0.303167026
"MostDILI Drugs","disulfiram","AR","TOX21_AR_LUC_MDAKB2_Antagonist2_Row168",0.980381077
"MostDILI Drugs","disulfiram","AR","TOX21_AR_BLA_Antagonist_ratio_Row143",0.979756282
"MostDILI Drugs","disulfiram","AR","TOX21_AR_BLA_Antagonist_viability_Row157",0.973079269
"MostDILI Drugs","disulfiram","AR","TOX21_AR_LUC_MDAKB2_Antagonist_Row178",0.969443738
"MostDILI Drugs","disulfiram","AR","OT_AR_ARSRC1_0480_Row1045",-3.130489294
"MostDILI Drugs","disulfiram","AVPR1","NVS_GPCR_rV1_Row1007",-2.806995883
"MostDILI Drugs","disulfiram","CCl2","BSK_3C_MCP1_down_Row106",-3.782852309
"MostDILI Drugs","disulfiram","CCL2","BSK_KF3CT_MCP1_down_Row52",-0.520646003
"MostDILI Drugs","disulfiram","CCL2","BSK_LPS_MCP1_down_Row105",-1.455260389
"MostDILI Drugs","disulfiram","CCL2","BSK_4H_MCP1_down_Row36",-3.216826531
"MostDILI Drugs","disulfiram","CCL2","BSK_SAg_MCP1_down_Row114",-3.321385698
"MostDILI Drugs","disulfiram","CD38","BSK_SAg_CD38_down_Row86",-3.644210402
"MostDILI Drugs","disulfiram","CD40","BSK_LPS_CD40_down_Row64",-1.940400191
"MostDILI Drugs","disulfiram","CD69","BSK_SAg_CD69_down_Row120",-2.128516526
"MostDILI Drugs","disulfiram","cellcycle","APR_HepG2_CellCycleArrest_72h_dn_Row623",0.328117246
"MostDILI Drugs","disulfiram","cellcycle","APR_HepG2_CellCycleArrest_24h_dn_Row186",-0.484770982
"MostDILI Drugs","disulfiram","cellcycle","APR_HepG2_MitoMass_72h_up_Row632",-1.272002831
"MostDILI Drugs","disulfiram","cellcycle","APR_HepG2_MitoticArrest_72h_up_Row176",-2.554907589
"MostDILI Drugs","disulfiram","cellcycle","APR_HepG2_MitoticArrest_24h_up_Row636",-2.841971972
"MostDILI Drugs","disulfiram","cellcycle","APR_HepG2_MitoMass_24h_dn_Row630",-3.048575159
"MostDILI Drugs","disulfiram","COL3A1","BSK_hDFCGF_CollagenIII_down_Row58",0.202452376
"MostDILI Drugs","disulfiram","CSF1","BSK_hDFCGF_MCSF_down_Row42",0.79554152
"MostDILI Drugs","disulfiram","CSF1","BSK_LPS_MCSF_down_Row141",-1.823840546
"MostDILI Drugs","disulfiram","CSF1","BSK_CASM3C_MCSF_down_Row502",-3.374476265
"MostDILI Drugs","disulfiram","CXCL10","BSK_hDFCGF_IP10_down_Row33",0.781089805
"MostDILI Drugs","disulfiram","CXCL10","BSK_KF3CT_IP10_down_Row38",-0.391694003
"MostDILI Drugs","disulfiram","CXCL10","BSK_BE3C_IP10_down_Row55",-2.803542381
"MostDILI Drugs","disulfiram","CXCL26","BSK_4H_Eotaxin3_down_Row76",-1.886624222
"MostDILI Drugs","disulfiram","CXCL9","BSK_hDFCGF_MIG_down_Row61",0.749354265
"MostDILI Drugs","disulfiram","CXCL9","BSK_CASM3C_MIG_down_Row503",-2.099263893
"MostDILI Drugs","disulfiram","CXCL9","BSK_BE3C_MIG_down_Row78",-3.811559704
"MostDILI Drugs","disulfiram","CYP19A1","TOX21_Aromatase_Inhibition_Row119",0.986957098
"MostDILI Drugs","disulfiram","CYP19A1","NVS_ADME_hCYP19A1_Row777",-0.209203585
"MostDILI Drugs","disulfiram","CYP1A2","NVS_ADME_hCYP1A2_Row542",0.798321697
"MostDILI Drugs","disulfiram","CYP2B6","NVS_ADME_hCYP2B6_Row783",0.936857814
"MostDILI Drugs","disulfiram","CYP2C19","NVS_ADME_hCYP2C19_Row544",0.774608344
"MostDILI Drugs","disulfiram","CYP2C9","NVS_ADME_hCYP2C9_Row546",0.524164993
"MostDILI Drugs","disulfiram","CYSLTR1","NVS_GPCR_gLTD4_Row955",0.780976052
"MostDILI Drugs","disulfiram","cytotoxicity","BSK_SAg_PBMCCytotoxicity_down_Row116",-2.17167753
"MostDILI Drugs","disulfiram","cytotoxicity","APR_HepG2_CellLoss_72h_dn_Row200",-2.603515931
"MostDILI Drugs","disulfiram","DRD1","NVS_GPCR_hDRD1_Row576",0.343020209
"MostDILI Drugs","disulfiram","EGF","BSK_hDFCGF_EGFR_down_Row29",-0.446828814
"MostDILI Drugs","disulfiram","ESR1","ACEA_T47D_80hr_Negative_Row198",-3.029760189
"MostDILI Drugs","disulfiram","F3","BSK_CASM3C_TissueFactor_down_Row293",-2.561043124
"MostDILI Drugs","disulfiram","F3","BSK_3C_TissueFactor_down_Row150",-3.027061685
"MostDILI Drugs","disulfiram","F3","BSK_LPS_TissueFactor_down_Row147",-3.267206613
"MostDILI Drugs","disulfiram","HLA-DR","BSK_BE3C_HLADR_down_Row59",-0.249022954
"MostDILI Drugs","disulfiram","HLA-DR","BSK_3C_HLADR_down_Row104",-0.72794179
"MostDILI Drugs","disulfiram","HLA-DR","BSK_CASM3C_HLADR_down_Row497",-1.510361959
"MostDILI Drugs","disulfiram","HRH3","NVS_GPCR_rH3_Row998",-2.743349998
"MostDILI Drugs","disulfiram","HSF1","TOX21_HSE_BLA_agonist_ratio_Row172",0.993782328
"MostDILI Drugs","disulfiram","HSF1","TOX21_HSE_BLA_agonist_ch2_Row280",0.525602925
"MostDILI Drugs","disulfiram","HTR4","NVS_GPCR_g5HT4_Row951",-3.343793113
"MostDILI Drugs","disulfiram","HTR6","NVS_GPCR_h5HT6_Row959",-0.735079531
"MostDILI Drugs","disulfiram","HTR7","NVS_GPCR_h5HT7_Row960",-1.963344791
"MostDILI Drugs","disulfiram","ICAM1","BSK_KF3CT_ICAM1_down_Row53",-1.144292965
"MostDILI Drugs","disulfiram","IL1a","BSK_KF3CT_IL1a_down_Row68",-0.797527685
"MostDILI Drugs","disulfiram","IL1a","BSK_LPS_IL1a_down_Row152",-1.482884357
"MostDILI Drugs","disulfiram","IL1a","BSK_BE3C_IL1a_down_Row69",-1.547328554
"MostDILI Drugs","disulfiram","IL8","BSK_hDFCGF_IL8_down_Row103",0.582807545
"MostDILI Drugs","disulfiram","IL8","BSK_LPS_IL8_down_Row160",-1.603859583
"MostDILI Drugs","disulfiram","IL8","BSK_CASM3C_IL8_down_Row500",-3.020369243
"MostDILI Drugs","disulfiram","JUN","ATG_AP_1_CIS_up_Row35",-3.625499815
"MostDILI Drugs","disulfiram","KDR","BSK_4H_VEGFRII_down_Row484",-3.305523124
"MostDILI Drugs","disulfiram","MMP1","BSK_hDFCGF_MMP1_down_Row96",0.613237955
"MostDILI Drugs","disulfiram","MMP1","BSK_BE3C_MMP1_down_Row142",-3.218097711
"MostDILI Drugs","disulfiram","MMP9","matrix metalloproteinase 9_down_Row46",-0.990825028
"MostDILI Drugs","disulfiram","NFKB1","ATG_NF_kB_CIS_dn_Row330",-3.67059785
"MostDILI Drugs","disulfiram","NPY1R","NVS_GPCR_hNPY1_Row978",-3.34567522
"MostDILI Drugs","disulfiram","NR1H4","TOX21_FXR_BLA_antagonist_ratio_Row183",0.987201574
"MostDILI Drugs","disulfiram","NR1H4","TOX21_FXR_BLA_Antagonist_ch2_Row228",0.986459876
"MostDILI Drugs","disulfiram","NR1H4","TOX21_FXR_BLA_Antagonist_ch1_Row215",0.986347819
"MostDILI Drugs","disulfiram","NR1I2","NVS_NR_hPXR_Row1035",0.796805874
"MostDILI Drugs","disulfiram","NR1I3","NVS_NR_hCAR_Antagonist_Row1031",0.999732655
"MostDILI Drugs","disulfiram","NRF1","ATG_NRF1_CIS_dn_Row336",-1.925931494
"MostDILI Drugs","disulfiram","OPRK1","NVS_GPCR_gOpiateK_Row573",-2.020307944
"MostDILI Drugs","disulfiram","OPRL1","NVS_GPCR_hORL1_Row981",-2.173774852
"MostDILI Drugs","disulfiram","oxstress","APR_HepG2_OxidativeStress_24h_up_Row205",-0.914132994
"MostDILI Drugs","disulfiram","oxstress","APR_HepG2_OxidativeStress_72h_up_Row202",-3.449488157
"MostDILI Drugs","disulfiram","PLAT","BSK_BE3C_tPA_down_Row40",-0.574140816
"MostDILI Drugs","disulfiram","PLAU","BSK_KF3CT_uPA_down_Row45",-0.782115932
"MostDILI Drugs","disulfiram","PLAU","BSK_BE3C_uPA_down_Row60",-1.503029365
"MostDILI Drugs","disulfiram","PLAUR","BSK_3C_uPAR_down_Row91",-1.606264937
"MostDILI Drugs","disulfiram","PLAUR","BSK_BE3C_uPAR_down_Row71",-1.77431565
"MostDILI Drugs","disulfiram","PLAUR","BSK_4H_uPAR_down_Row101",-3.479210861
"MostDILI Drugs","disulfiram","PPARA","NVS_NR_hPPARa_Row1034",0.999886296
"MostDILI Drugs","disulfiram","PPARD","TOX21_PPARd_BLA_antagonist_ratio_Row221",0.988008655
"MostDILI Drugs","disulfiram","PPARD","TOX21_PPARd_BLA_Agonist_viability_Row222",0.984008074
"MostDILI Drugs","disulfiram","PPARG","TOX21_PPARg_BLA_Agonist_ch2_Row1",0.98150792
"MostDILI Drugs","disulfiram","prlfrn","BSK_hDFCGF_Proliferation_down_Row25",0.819247753
"MostDILI Drugs","disulfiram","prlfrn","BSK_SAg_Proliferation_down_Row54",0.095846381
"MostDILI Drugs","disulfiram","prlfrn","BSK_3C_Proliferation_down_Row100",-0.451561264
"MostDILI Drugs","disulfiram","prlfrn","BSK_CASM3C_Proliferation_down_Row26",-0.884912128
"MostDILI Drugs","disulfiram","PTGER2","BSK_LPS_PGE2_down_Row146",-1.680627002
"MostDILI Drugs","disulfiram","SAA1","BSK_CASM3C_SAA_down_Row506",-1.364905267
"MostDILI Drugs","disulfiram","SELP","BSK_4H_Pselectin_down_Row49",-2.89354323
"MostDILI Drugs","disulfiram","SERPINE1","BSK_hDFCGF_PAI1_down_Row32",0.419336785
"MostDILI Drugs","disulfiram","SIGMAR1","NVS_OR_gSIGMA_NonSelective_Row140",-2.998632059
"MostDILI Drugs","disulfiram","SLC29A1","NVS_TR_hAdoT_Row1040",-2.60328107
"MostDILI Drugs","disulfiram","SLC6A2","NVS_TR_hNET_Row595",0.943503593
"MostDILI Drugs","disulfiram","SLC6A3","NVS_TR_DAT_Row594",-1.492187363
"MostDILI Drugs","disulfiram","srb","BSK_hDFCGF_SRB_down_Row73",0.281220025
"MostDILI Drugs","disulfiram","srb","BSK_KF3CT_SRB_down_Row50",-0.45372836
"MostDILI Drugs","disulfiram","srb","BSK_BE3C_SRB_down_Row102",-1.719560891
"MostDILI Drugs","disulfiram","srb","BSK_SAg_SRB_down_Row115",-3.407697574
"MostDILI Drugs","disulfiram","srb","BSK_LPS_SRB_down_Row123",-3.53061245
"MostDILI Drugs","disulfiram","srb","BSK_4H_SRB_down_Row131",-3.60403962
"MostDILI Drugs","disulfiram","srb","BSK_3C_SRB_down_Row82",-3.671024319
"MostDILI Drugs","disulfiram","TACR2","NVS_GPCR_hNK2_Row578",0.747756108
"MostDILI Drugs","disulfiram","TGFB1","BSK_KF3CT_TGFb1_down_Row87",-0.499937101
"MostDILI Drugs","disulfiram","TGFB1","BSK_BE3C_TGFb1_down_Row63",-2.200817202
"MostDILI Drugs","disulfiram","THBD","BSK_CASM3C_Thrombomodulin_up_Row23",0.10518036
"MostDILI Drugs","disulfiram","THBD","BSK_3C_Thrombomodulin_up_Row296",-1.320655409
"MostDILI Drugs","disulfiram","THRA","TOX21_TR_LUC_GH3_Antagonist_Row97",0.990310514
"MostDILI Drugs","disulfiram","TIMP1","BSK_hDFCGF_TIMP1_down_Row51",0.715319607
"MostDILI Drugs","disulfiram","TIMP2","BSK_KF3CT_TIMP2_down_Row70",-0.711322391
"MostDILI Drugs","disulfiram","TNF","BSK_LPS_TNFa_down_Row154",-1.206490328
"MostDILI Drugs","disulfiram","TP53","TOX21_p53_BLA_p1_ch2_Row274",-0.192146002
"MostDILI Drugs","disulfiram","TP53","APR_HepG2_p53Act_24h_up_Row648",-0.82389617
"MostDILI Drugs","disulfiram","TP53","APR_HepG2_p53Act_72h_up_Row173",-0.90957263
"MostDILI Drugs","disulfiram","TP53","TOX21_p53_BLA_p2_ch2_Row77",-2.41730505
"MostDILI Drugs","disulfiram","TP53","TOX21_p53_BLA_p3_ch2_Row92",-3.959587509
"MostDILI Drugs","disulfiram","TSPO","NVS_MP_rPBR_Row587",0.948805001
"MostDILI Drugs","disulfiram","TSPO","NVS_MP_hPBR_Row586",0.347055664
"MostDILI Drugs","disulfiram","USF1","ATG_E_Box_CIS_dn_Row362",-2.151974465
"MostDILI Drugs","disulfiram","VCAM1","BSK_hDFCGF_VCAM1_down_Row41",0.808029139
"MostDILI Drugs","disulfiram","VCAM1","BSK_CASM3C_VCAM1_down_Row511",-2.505286854
"MostDILI Drugs","disulfiram","VCAM1","BSK_LPS_VCAM1_down_Row72",-3.043101413
"MostDILI Drugs","disulfiram","VCAM1","BSK_3C_VCAM1_down_Row128",-3.180664293
"MostDILI Drugs","disulfiram","VCAM1","BSK_4H_VCAM1_down_Row125",-3.725326681
"MostDILI Drugs","disulfiram","VDR","TOX21_VDR_BLA_Agonist_viability_Row224",0.981196443
"MostDILI Drugs","disulfiram","zf_activityscore","Tanguay_ZF_120hpf_ActivityScore_Row1057",0.834985872
"MostDILI Drugs","disulfiram","zf_axis","Tanguay_ZF_120hpf_AXIS_up_Row1056",0.940437984
"MostDILI Drugs","disulfiram","zf_brai","Tanguay_ZF_120hpf_BRAI_up_Row1058",0.860068071
"MostDILI Drugs","disulfiram","zf_eye","Tanguay_ZF_120hpf_EYE_up_Row1061",0.85626468
"MostDILI Drugs","disulfiram","zf_jaw","Tanguay_ZF_120hpf_JAW_up_Row1062",0.811968384
"MostDILI Drugs","disulfiram","zf_nc","Tanguay_ZF_120hpf_NC_up_Row1064",0.979531338
"MostDILI Drugs","disulfiram","zf_pe","Tanguay_ZF_120hpf_PE_up_Row1066",0.801345951
"MostDILI Drugs","disulfiram","zf_snou","Tanguay_ZF_120hpf_SNOU_up_Row1069",0.775033425
"MostDILI Drugs","disulfiram","zf_somi","Tanguay_ZF_120hpf_SOMI_up_Row1070",0.914111231
"MostDILI Drugs","disulfiram","zf_swim","Tanguay_ZF_120hpf_SWIM_up_Row1071",0.781903442
"MostDILI Drugs","disulfiram","zf_teratoscore","NHEERL_ZF_144hpf_TERATOSCORE_up_Row13",0.962871174
"MostDILI Drugs","disulfiram","zf_tr","Tanguay_ZF_120hpf_TR_up_Row1073",0.654668817
"MostDILI Drugs","disulfiram","zf_trun","Tanguay_ZF_120hpf_TRUN_up_Row1072",0.820376708
"MostDILI Drugs","disulfiram","zf_yse","Tanguay_ZF_120hpf_YSE_up_Row1074",0.91557546
"MostDILI Drugs","disulfiram","ZF4","Tanguay_ZF_120hpf_CIRC_up_Row1060",-0.331988948
"LessDILIDrugs","docetaxel","AR","TOX21_AR_BLA_Antagonist_ratio_Row143",0.991991382
"LessDILIDrugs","docetaxel","THRA","TOX21_TR_LUC_GH3_Antagonist_Row97",0.973250394
"LessDILIDrugs","docetaxel","TP53","TOX21_p53_BLA_p4_ch2_Row163",0.996704788
"LessDILIDrugs","docetaxel","TP53","TOX21_p53_BLA_p4_ratio_Row126",0.996672029
"LessDILIDrugs","docetaxel","TP53","TOX21_p53_BLA_p2_ch2_Row77",0.996006245
"LessDILIDrugs","docetaxel","TP53","TOX21_p53_BLA_p3_ch2_Row92",-1.297011544
"LessDILIDrugs","docetaxel","TP53","TOX21_p53_BLA_p1_ratio_Row162",-1.360081571
"LessDILIDrugs","docetaxel","TP53","TOX21_p53_BLA_p1_ch2_Row274",-1.408938314
"LessDILIDrugs","docetaxel","TP53","TOX21_p53_BLA_p3_ratio_Row118",-1.472710836
"LessDILIDrugs","docetaxel","TP53","TOX21_p53_BLA_p5_ch2_Row151",-1.653190935
"LessDILIDrugs","docetaxel","TP53","TOX21_p53_BLA_p5_ratio_Row117",-1.665180778
"LessDILIDrugs","docetaxel","TP53","TOX21_p53_BLA_p2_ratio_Row80",-1.719389126
"NoDILI Drugs","dopamine","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",-1.764445597
"MostDILI Drugs","efavirenz","AR","TOX21_AR_LUC_MDAKB2_Antagonist2_Row168",0.398414068
"MostDILI Drugs","efavirenz","AR","TOX21_AR_BLA_Antagonist_ratio_Row143",-0.664699373
"MostDILI Drugs","efavirenz","AR","TOX21_AR_LUC_MDAKB2_Antagonist_Row178",-2.254050605
"MostDILI Drugs","efavirenz","CYP19A1","TOX21_Aromatase_Inhibition_Row119",-0.626655562
"MostDILI Drugs","efavirenz","ESR1","TOX21_ERa_LUC_BG1_Antagonist_Row179",-1.127183701
"MostDILI Drugs","efavirenz","ESR1","TOX21_ERa_BLA_Antagonist_ratio_Row156",-1.736356969
"MostDILI Drugs","efavirenz","NR1H4","TOX21_FXR_BLA_antagonist_ratio_Row183",-1.449555843
"MostDILI Drugs","efavirenz","NRF2","TOX21_ARE_BLA_Agonist_ch2_Row24",-0.284390844
"MostDILI Drugs","efavirenz","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",-0.706652184
"MostDILI Drugs","efavirenz","PPARD","TOX21_PPARd_BLA_Agonist_viability_Row222",-1.601309538
"MostDILI Drugs","efavirenz","PPARG","TOX21_PPARg_BLA_antagonist_ratio_Row220",-1.507937769
"MostDILI Drugs","efavirenz","THRA","TOX21_TR_LUC_GH3_Antagonist_Row97",-0.884480638
"MostDILI Drugs","efavirenz","TP53","TOX21_p53_BLA_p4_viability_Row177",-1.064892715
"MostDILI Drugs","efavirenz","TP53","TOX21_p53_BLA_p4_ratio_Row126",-2.145342269
"MostDILI Drugs","efavirenz","TP53","TOX21_p53_BLA_p5_ratio_Row117",-2.146436405
"MostDILI Drugs","efavirenz","TP53","TOX21_p53_BLA_p4_ch1_Row112",-2.148028432
"MostDILI Drugs","efavirenz","TP53","TOX21_p53_BLA_p5_ch1_Row169",-2.149182741
"MostDILI Drugs","efavirenz","TP53","TOX21_p53_BLA_p2_ch1_Row98",-2.149215765
"AmbiDILIDrugs","emtricitabine","ESR1","TOX21_ERa_LUC_BG1_Agonist_Row253",0.999466601
"LessDILIDrugs","entacapone","AR","TOX21_AR_LUC_MDAKB2_Antagonist2_Row168",-3.556609835
"LessDILIDrugs","entacapone","HSF1","TOX21_HSE_BLA_agonist_ratio_Row172",-2.88470313
"LessDILIDrugs","entacapone","HSF1","TOX21_HSE_BLA_agonist_ch2_Row280",-2.982250734
"LessDILIDrugs","entacapone","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",-3.458178252
"LessDILIDrugs","entacapone","TP53","TOX21_p53_BLA_p5_ratio_Row117",-3.366252014
"NoDILI Drugs","ergocalciferol","ESR1","NVS_NR_mERa_Row618",0.1214761
"MostDILI Drugs","erlotinib","AHR","TOX21_AhR_LUC_Agonist_Row256",0.493487271
"MostDILI Drugs","erlotinib","AR","TOX21_AR_BLA_Antagonist_ratio_Row143",0.462428253
"MostDILI Drugs","erlotinib","AR","TOX21_AR_LUC_MDAKB2_Agonist_Row252",-0.14714331
